,TITLE,PRICE,LOCATION,ROOM,AREA
0,ZÜHTÜPAŞA BAĞDAT CAD'NE YAKIN BALKONLU 3+1 SATILIK BOŞ DAİRE,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
1,,240000000,"Kozyatağı, Kadıköy",,4172 m²
2,Kozyatağında kurumsal firmalara uygun satılık plaza.,9950000,"Bostancı, Kadıköy",4+1,160 m²
3,Fenerbahçe Sahilde çok ferah 4+2 teraslı dublex daire,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
4,"BOSTANCI SAHİLDE ÖNÜ KAPANMAZ 160 M2, 4+1 SATILIK DAİRE",13200000,"Suadiye, Kadıköy",4+2,230 m²
5,SUADİYE'DE ALTERNATİFSİZ HARİKA DENİZ VE ŞEHİR MANZARALI DUBLEKS,10300000,"Suadiye, Kadıköy",4+1,165 m²
6,"SUADİYE ŞASKINBAKKAL' da 165 m2, 4+1 SATILIK OFİS",7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
7,Bağdat caddesinde köşe konumlu çok özel plaza,10300000,"Suadiye, Kadıköy",4+1,165 m²
8,"Yalı Parseli & Dalyan Sahil'de Deniz Manzaralı, 5. Kat 2+1 %",290000000,"Fenerbahçe, Kadıköy",,2987 m²
9,"SUADİYE ŞASKINBAKKAL' da 165 m2, 4+1 SATILIK DAİRE",12000000,"19 Mayıs, Kadıköy",1+1,180 m²
10,Suadiye'de bağdat caddesine çok yakın 2+1 yepyeni daire,5975000,"Suadiye, Kadıköy",2+1,95 m²
11,BAĞDAT CADDESİNDE 3 KATLI DÜKKAN & MAĞAZA,13950000,"Zühtüpaşa, Kadıköy",,212 m²
12,"ACIBADEMDE DEPREM SONRASI, 2008 YAPIMI, K. OTOPARKLI 4+1DUBLEKS",3750000,"Caferağa, Kadıköy",2+1,100 m²
13,Bağdat Caddesi'ne yürüme mesafesinde sıfır binada 3+1 satılık,21500000,"Caddebostan, Kadıköy",4+2,300 m²
14,KADIKÖY MERDİVENKÖY'DE SATILIK SIFIR DAİRE,8975000,"Suadiye, Kadıköy",3+1,130 m²
15,CADDEBOSTAN SAHİLDE DİNAMİK'TEN 300m2 DENİZ MANZARALI +TERASLI,7395000,"Erenköy, Kadıköy",3+1,165 m²
16,,6650000,"Göztepe, Kadıköy",3+1,150 m²
17,"Kadıköy Kadife Sokakta, Yüksek Kira Getirili, Satılık 2+1!",4200000,"Koşuyolu, Kadıköy",,125 m²
18,FENERBAHCE YALI PARSELİ LEBİ DERYA MUHTEŞEM 5+2 520 M2,7000000,"Caferağa, Kadıköy",3+1,140 m²
